team,wyId,wyscout_name,wyscout_fine,wyscout_coarse,sportradar_id,sportradar_name,sportradar_position,sportradar_coarse,match
Hermannstadt,593080,Diogo Batista,CM,MID,,,,,False
Hermannstadt,581187,S. Issah,CB,DEF,sr:player:2116812,"Issah, Seydou Saeed",defender,DEF,True
Hermannstadt,84321,F. Bejan,CB,DEF,sr:player:3174158,"Bejan, David",midfielder,MID,False
Hermannstadt,236740,C. Biceanu,CM,MID,,,,,False
Hermannstadt,236811,C. Căbuz,GK,GK,,,,,False
Hermannstadt,366563,V. Selimović,CB,DEF,,,,,False
Hermannstadt,236823,S. Balaure,WF,FWD,sr:player:279607,"Balaure, Silviu",midfielder,MID,False
Petrolul Ploieşti,1046094,D. Paraschiv,CM,MID,,,,,False
Petrolul Ploieşti,846397,D. Dongmo,DM,MID,sr:player:2411857,"Dongmo, Danel Jordan",midfielder,MID,True
Petrolul Ploieşti,821944,I. Tolea,AM,MID,sr:player:2391321,"Tolea, Ioan",midfielder,MID,True
Petrolul Ploieşti,784809,B. Marian,WB,DEF,sr:player:2600443,"Marian, Bogdan",defender,DEF,True
Petrolul Ploieşti,756116,R. Balbarau,GK,GK,sr:player:2203214,"Balbarau, Raul",goalkeeper,GK,True
Petrolul Ploieşti,684806,A. Chica-Rosa,ST,FWD,sr:player:1940096,"Chica-Rosa, Adi",forward,FWD,True
Petrolul Ploieşti,684792,R. Sălceanu,FB,DEF,,,,,False
Petrolul Ploieşti,682774,A. Boțogan,CM,MID,sr:player:2100880,"Botogan, Alin",midfielder,MID,True
Petrolul Ploieşti,488953,Guilherme Soares,CB,DEF,sr:player:2160164,"Soares, Guilherme",defender,DEF,True
Petrolul Ploieşti,83699,A. Mateiu,DM,MID,sr:player:44443,"Mateiu, Alexandru",midfielder,MID,True
Petrolul Ploieşti,83959,G. Grozav,AM,MID,sr:player:69213,"Grozav, Gheorghe",forward,FWD,False
Petrolul Ploieşti,83744,P. Papp,CB,DEF,sr:player:69336,"Papp, Paul",defender,DEF,True
Petrolul Ploieşti,84880,S. Hanca,AM,MID,sr:player:113743,"Hanca, Sergiu",midfielder,MID,True
Petrolul Ploieşti,64958,S. Krell,GK,GK,sr:player:134646,"Krell, Stefan",goalkeeper,GK,True
Petrolul Ploieşti,238584,F. Prce,CB,DEF,sr:player:190427,"Prce, Franjo",defender,DEF,True
Petrolul Ploieşti,279058,Ricardinho,FB,DEF,sr:player:770243,Ricardinho,defender,DEF,True
Petrolul Ploieşti,347151,Y. Roche,CB,DEF,sr:player:1243914,"Roche, Yohan",defender,DEF,True
Petrolul Ploieşti,412695,V. Gheorghe,W,FWD,sr:player:1012103,"Gheorghe, Valentin",midfielder,MID,False
Petrolul Ploieşti,475980,T. Jyry,CM,MID,sr:player:1061770,"Jyry, Tommi",midfielder,MID,True
Petrolul Ploieşti,487125,K. Doumtsios,ST,FWD,sr:player:803462,"Doumtsios, Konstantinos",forward,FWD,True
Petrolul Ploieşti,491990,B. Doukansy,DM,MID,sr:player:1731811,"Doukansy, Brahima",midfielder,MID,True
Petrolul Ploieşti,826080,R. Pop,AM,MID,sr:player:2343317,"Pop, Rares",midfielder,MID,True
Petrolul Ploieşti,694082,Rafinha,WF,FWD,,,,,False
Petrolul Ploieşti,632600,C. Ignat,CB,DEF,sr:player:1988123,"Ignat, Cristian",defender,DEF,True
Petrolul Ploieşti,136788,A. Aymbetov,ST,FWD,,,,,False
Petrolul Ploieşti,404908,M. Dulca,DM,MID,sr:player:934758,"Dulca, Marco",midfielder,MID,True
Petrolul Ploieşti,545262,A. Dumitrescu,FB,DEF,sr:player:1383001,"Dumitrescu, Andres",defender,DEF,True
Petrolul Ploieşti,222582,N. Boateng,AM,MID,sr:player:252531,"Boateng, Nana",midfielder,MID,True
Petrolul Ploieşti,295757,T. Keita,DM,MID,,,,,False
Petrolul Ploieşti,595660,D. Radu,FB,DEF,sr:player:1652079,"Radu, Denis Razvan",defender,DEF,True
Petrolul Ploieşti,408933,K. Ludewig,W,FWD,sr:player:939258,"Ludewig, Kilian",defender,DEF,False
UTA Arad,1086818,M. Țuțu,FB,DEF,sr:player:2985817,"Tutu, Mark",defender,DEF,True
UTA Arad,1046794,D. Taroi,AM,MID,sr:player:2902621,"Taroi, Denis",midfielder,MID,True
UTA Arad,1018334,D. Barbu,ST,FWD,,,,,False
UTA Arad,779381,F. Iacob,FB,DEF,sr:player:2800573,"Iacob, Flavius",defender,DEF,True
UTA Arad,673678,R. Odada,DM,MID,sr:player:1730533,"Odada, Richard",midfielder,MID,True
UTA Arad,636258,A. Gorcea,GK,GK,sr:player:2028219,"Gorcea, Andrei Cristian",goalkeeper,GK,True
UTA Arad,625962,L. Mihai,DM,MID,sr:player:2411865,"Mihai, Luca",midfielder,MID,True
UTA Arad,590216,D. Hrezdac,DM,MID,sr:player:1628672,"Hrezdac, Denis Lucian",midfielder,MID,True
UTA Arad,587667,S. Mino,DM,MID,sr:player:1075376,"Mino, Sota",midfielder,MID,True
UTA Arad,83665,A. Benga,CB,DEF,sr:player:98566,"Benga, Alexandru Constantin",defender,DEF,True
UTA Arad,84373,A. Roman,AM,MID,,,,,False
UTA Arad,285677,D. Alomerović,FB,DEF,sr:player:361654,"Alomerovic, Sabahudin",defender,DEF,True
UTA Arad,346550,V. Costache,AM,MID,,,,,False
UTA Arad,366784,H. Abdallah,ST,FWD,sr:player:1103969,"Abdallah, Hakim",midfielder,MID,False
UTA Arad,372880,B. Van Durmen,DM,MID,sr:player:838193,"Van Durmen, Benjamin",midfielder,MID,True
UTA Arad,393264,F. Poulolo,CB,DEF,sr:player:1763213,"Poulolo, Florent",defender,DEF,True
UTA Arad,402476,M. Coman,ST,FWD,sr:player:893390,"Coman, Marius Catalin",forward,FWD,True
UTA Arad,495815,L. Gojković,AM,MID,sr:player:1247368,"Gojkovic, Luka",midfielder,MID,True
UTA Arad,762967,L. Vlasceanu,AM,MID,sr:player:2328387,"Vlasceanu, Laurentiu",defender,DEF,False
UTA Arad,106397,D. Pospelov,CB,DEF,sr:player:112300,"Pospelov, Dmytro",defender,DEF,True
UTA Arad,136092,D. Iliev,GK,GK,,,,,False
UTA Arad,283965,O. Popescu,DM,MID,sr:player:359476,"Popescu, Ovidiu Marian",midfielder,MID,True
UTA Arad,443858,A. Padula,FB,DEF,sr:player:1009199,"Padula, Andrea",defender,DEF,True
UTA Arad,544331,M. Tzionis,AM,MID,sr:player:1281198,"Tzionis, Marinos",forward,FWD,False
UTA Arad,601785,D. Zsóri,AM,MID,,,,,False
